  基數時間       基數          基數轉換時間               註解
==========    =====    ===================    ==================
2000-02-18    10393    N/A                    初始值
2000-03-16     8250    2000-03-16 11:51:00    達到基數轉換條件
2000-02-18    10393    2000-04-05 09:08:00    越過對稱角度，回到 103
2000-04-06    10328    2000-04-13 09:27:00    達到基數轉換條件
2000-04-15     8780    2000-04-18 09:01:00    達到基數轉換條件
2000-04-19     9477    2000-04-20 09:01:00    達到基數轉換條件
2000-05-04     8338    2000-05-06 09:26:00    達到基數轉換條件
2000-02-18    10393    2000-05-11 09:40:00    跌破基點，轉回 103
2000-05-11     8281    2000-05-16 11:51:00    達到基數轉換條件
2000-05-20     9167    2000-05-24 09:01:00    達到基數轉換條件
2000-05-26     8386    2000-05-29 09:53:00    達到基數轉換條件
2000-06-08     9209    2000-06-26 09:40:00    達到基數轉換條件
2000-08-08     7670    2000-08-18 09:02:00    達到基數轉換條件
2000-08-21     8305    2000-08-29 09:21:00    達到基數轉換條件
2000-09-01     7381    2000-09-04 10:39:00    達到基數轉換條件
2000-02-18    10393    2000-09-08 10:58:00    跌破基點，轉回 103
2000-10-13     5482    2000-10-13 11:18:00    達到基數轉換條件
2000-10-16     6161    2000-10-16 11:45:00    達到基數轉換條件
2000-10-19     5074    2000-10-20 10:37:00    達到基數轉換條件
2000-10-25     6035    2000-10-30 09:01:00    達到基數轉換條件
2000-11-02     5381    2000-11-03 09:11:00    達到基數轉換條件
2000-11-08     6164    2000-11-15 11:56:00    達到基數轉換條件
2000-11-21     4760    2000-11-24 11:51:00    達到基數轉換條件
2000-11-27     5526    2000-12-21 09:01:00    達到基數轉換條件
2000-12-28     4555    2001-01-04 09:01:00    達到基數轉換條件

2001-02-02     6103    2001-02-07 12:02:00    達到基數轉換條件
2000-02-18    10393    2001-02-15 13:30:00    越過高點，轉回 103
2001-02-16     6198    2001-02-23 09:14:00    達到基數轉換條件
2001-03-02     5471    2001-03-16 09:19:00    達到基數轉換條件
2000-02-18    10393    2001-04-03 09:14:00    跌破低點，轉回 103
2001-07-24     4008    2001-07-27 12:53:00    達到基數轉換條件
2001-08-17     4715    2001-09-07 09:01:00    達到基數轉換條件
2001-09-26     3411    2001-10-11 10:41:00    達到基數轉換條件
2001-12-13     5651    2001-12-14 09:01:00    達到基數轉換條件
2001-12-21     5090    2001-12-26 09:01:00    達到基數轉換條件
