# 統計高低點多位於角線的何處（護城河/順勢區/角線/壓力區）
# 或者是根本沒有進入角線區域？
#
# Legend:
#   wall: 角線前的輔線
#   quick: 順勢區
#   angle: 角線
#   pressure: 壓力區
#   cross: 十字線區（短趨勢區）

# Result:
#
#   58  a
#   176 c
#   118 p
#   60  q
#   75  w
#   487 total
#   a + p + q + w = 311 (63.86%)

# Section  Result
12682      p
11550      p
12321      p
10995      w
11720      c
10887      a
12065      c
10145      c
11282      p
9405       w
10011      p
8652       p
9838       c
8252       c
9062       p
8125       a
8689       q
5822       w
8007       c
5758       p
6606       c
4450       w
5286       a
4522       c
5825       p
3788       p
4391       q
3021       p
3812       a
2485       c

3575       w
3016       p
5027       w
3986       p
5267       q
3773       p
4533       c
3142       c
4340       c
3920       c
5255       w
4446       q
5005       w
4678       w
5715       w
5202       c
6365       c

5681       c
6240       a
5556       q
6137       c
4781       p
5282       a
4775       c
5247       w
4335       c
4690       p
4250       w
4782       w
4498       c
4925       p
4032       q

4436       p
4227       a
4553       c
4381       p
4582       w
4310       c
4593       w
4379       p
5459       c

4766       c
5173       c
4382       p
4614       q
4253       w
4675       p
4439       q
4772       c
3925       c
4167       w
3629       a
3986       q
3306       w
3777       w
3559       p
3777       w
3506       c
3737       c
3604       a
3797       q
3098       q

3420       a
3214       p
4818       w
4395       p
5091       p

4386       p
4642       a
4401       a
4736       c
4171       p
4422       a
3891       c
4129       c
3875       w
4093       c
3921       c
4175       w
3740       c

3976       w
3785       p
4376       w
4163       p
5483       w
5238       p
6719       w

5649       c
6179       c
5756       p
6424       c
5362       w
5808       p
5125       w

5976       q
5670       c
6153       c
5760       a
6221       q
5851       c
7020       a
6539       q
7085       p
6829       w
7129       c
6880       c
7228       w

5916       c
6904       c
6153       c
6521       a
6241       a
7180       c
6167       c
6696       w
6284       q
6625       c
6355       c
6599       p
5537       a
5852       c
5417       c
5745       q
5199       c
5690       c
5294       a
5668       c
4926       w
5335       p
4474       w

4906       p
4584       p
5221       w
4916       w
5170       c
4986       c
5265       q
4530       c
5209       c
4798       p
5073       a
4672       w
4883       p
4675       w
6191       w
5886       c
6237       q
5962       p
6229       q
5695       c
6006       a
5798       q
6624       c
5943       p
6226       q
6034       q
6400       c
5988       p
6680       c
6357       c
7002       q
6760       a
7084       p
6769       a
7391       c
7142       c
8599       c
7830       p
8758       p
8251       c
8750       p
8116       p
8479       p
7893       q
8248       c
7975       c
8436       p
8179       q
9889       q
9345       q
10167      w
9501       c
10256      a

8898       c
9292       q
8177       q
8512       c
7274       p
7901       p
7040       a

8137       a
7418       c
7907       p
7400       c
8532       c
8135       a
8521       c
7925       w
8243       c
7375       w
9378       p

8630       p
9165       c
8728       a
9337       p
8023       c
8417       a
7073       q
7898       p
7517       p
8079       w
7789       p
8116       q
6219       p

7017       q
6682       c
7218       w
6384       c
7064       p
6784       a
7249       w
6643       c
7488       c

7116       w
7453       c
7096       w
7375       p
6460       p
6782       a
5988       p
6492       q
6176       c
6577       p
5422       c

7133       c
6828       w
7706       c
7209       c
7705       c
7304       a
8661       q
8240       c
8710       a

8390       p
8663       q
7068       q
7830       q
6771       a

8414       a
7891       q
8250       c
7415       c
7959       c
7505       p
7874       p
7261       p
8152       p
7558       p
8087       q
7684       c
10393      c

9407       w
9781       c
9286       p
9712       c
8250       c

8799       p
8355       p
10328      p

8780       w
9477       c
8281       c
9167       c
8386       p
9209       c
7988       c
8643       w
7670       c
8305       c
7381       c
7829       q
5904       c
6425       c
5074       a
6035       p
5381       c
6164       c
4760       c
5526       a
4555       c

5531       a
5254       p
6103       c
5653       c
6198       w

5471       p
5793       p
5498       p
5981       q
5345       w
5683       c
4902       w
5246       w
4944       c
5318       p
4008       a
4715       c
4303       c
4576       w
3411       p

4104       c
3872       w
4722       c
4376       p
5651       c
5090       q
5926       c
5375       c
6049       p
5738       p
6048       p
5492       p
6212       q
5877       c
6326       p
6009       a
6484       q

5525       a
5933       c
5421       c
5796       p
5357       w
5625       c
4808       p
5417       c
5162       c
5460       w
4506       c
5030       w
4303       c
4576       w
3845       q

4682       p
4448       q
4811       w
4603       p
4862       a
4573       p
4867       a
4413       a
5082       a
4875       q
5141       p

4462       w
4707       p
4240       q
4619       q
4275       w
4677       p
4044       q

5089       a
4856       a
5416       c
5176       c
5435       c
5213       c
5504       q
5174       c
5809       p
5560       q
6182       w
5740       p
5945       w
5718       p
6421       c
6210       p
7135       c

6564       w
6833       p
6020       a
6916       c
5450       c
6137       c
5630       c
6010       a
5514       p
5870       c
5627       c
5804       p
5255       p

6135       c
5597       w
6088       p
5722       p
6183       w
5734       p
6267       a
5565       q
6401       c
6180       p
6481       q
5976       p
6186       w
5894       c
6171       c
5618       c
6797       p
6373       c
6747       q
6466       p
6685       c
6344       c
7476       c

6268       a
6629       c
6290       q
6789       a
6232       p

6761       a
6422       c
7716       c
7369       w
7999       c
7599       q
7990       c
7637       w
7950       c
7306       a
8108       q
7843       a
9807       c

8727       a
9219       c
7987       c

8849       c
8514       c
9783       c
9431       c
9673       p
9275       p
9859       w

9129       c
9437       c
8207       w
8804       p
7664       c
8532       c
7818       p
8546       c
7384       c

8658       w
7900       q
9049       p
8419       a
9194       c
8754       q
9309       a
